,precision,recall,f1-score,support
0,0.2572797640987836,0.7570498915401301,0.3840440165061898,922.0
1,0.6673313393153871,0.4913139221923171,0.5659526493799324,4087.0
2,0.09734513274336283,0.01373283395755306,0.024070021881838075,801.0
3,0.1705521472392638,0.16547619047619047,0.16797583081570996,840.0
accuracy,0.42947368421052634,0.42947368421052634,0.42947368421052634,0.42947368421052634
macro avg,0.29812709584919933,0.35689320954154774,0.28551062964591756,6650.0
weighted avg,0.47907253853977155,0.42947368421052634,0.42519050325519386,6650.0
