,precision,recall,f1-score,support
0,0.13942307692307693,0.1781874039938556,0.1564396493594066,651.0
1,0.1117717003567182,0.11097992916174734,0.11137440758293839,847.0
2,0.005,0.0011627906976744186,0.0018867924528301887,860.0
3,0.5357917570498916,0.5064440538957234,0.5207047131456106,3414.0
4,0.16064516129032258,0.2835990888382688,0.20510708401976935,878.0
accuracy,0.32917293233082706,0.32917293233082706,0.32917293233082706,0.32917293233082706
macro avg,0.19052633912400185,0.21607465331745393,0.199102529312111,6650.0
weighted avg,0.3248082050316235,0.32917293233082706,0.32414569728024495,6650.0
