,precision,recall,f1-score,support
0,0.06788990825688074,0.11367127496159754,0.08500861573808156,651.0
1,0.13410672853828307,0.3412042502951594,0.19253830779480346,847.0
2,0.23692307692307693,0.08953488372093023,0.12995780590717299,860.0
3,0.5754021447721179,0.502929115407147,0.5367302281963113,3414.0
4,0.020833333333333332,0.002277904328018223,0.004106776180698152,878.0
accuracy,0.3246616541353384,0.3246616541353384,0.3246616541353384,0.3246616541353384
macro avg,0.20703103836473838,0.20992348574257053,0.1896683467634135,6650.0
weighted avg,0.3525192728450644,0.3246616541353384,0.3257424085980028,6650.0
