,precision,recall,f1-score,support
0,1.0,1.0,1.0,104.0
1,0.9985364068788877,0.9884099963781239,0.9934473971605388,2761.0
2,0.9845132743362832,0.9955257270693513,0.9899888765294772,447.0
3,0.9912546249579549,0.9989830508474576,0.9951038325173054,2950.0
accuracy,0.9940913446183328,0.9940913446183328,0.9940913446183328,0.9940913446183328
macro avg,0.9935760765432814,0.9957296935737332,0.9946350265518304,6262.0
weighted avg,0.9941292872320174,0.9940913446183328,0.9940896833751157,6262.0
