,precision,recall,f1-score,support
0,0.16715628672150412,0.6171366594360087,0.2630605640314378,922.0
1,0.6100961538461539,0.3104966968436506,0.4115453218744933,4087.0
2,0.11264822134387352,0.07116104868913857,0.08722264728385616,801.0
3,0.1696969696969697,0.13333333333333333,0.14933333333333335,840.0
accuracy,0.30180451127819546,0.30180451127819546,0.30180451127819546,0.30180451127819546
macro avg,0.2648994079021253,0.2830319345755328,0.22779046663078015,6650.0
weighted avg,0.4331365048072714,0.30180451127819546,0.31877186631765536,6650.0
