,precision,recall,f1-score,support
0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,1.0,0.20857142857142857,0.34515366430260047,6650.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
accuracy,0.20857142857142857,0.20857142857142857,0.20857142857142857,0.20857142857142857
macro avg,0.16666666666666666,0.034761904761904765,0.05752561071710008,6650.0
weighted avg,1.0,0.20857142857142857,0.34515366430260047,6650.0
