,precision,recall,f1-score,support
0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,1.0,0.1887218045112782,0.31752055660974066,6650.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
accuracy,0.1887218045112782,0.1887218045112782,0.1887218045112782,0.1887218045112782
macro avg,0.16666666666666666,0.03145363408521303,0.05292009276829011,6650.0
weighted avg,1.0,0.1887218045112782,0.31752055660974066,6650.0
