,precision,recall,f1-score,support
0,0.07135362014690451,0.10445468509984639,0.08478802992518704,651.0
1,0.1376783648283841,0.4214876033057851,0.20755813953488372,847.0
2,0.2523364485981308,0.0941860465116279,0.1371718882303133,860.0
3,0.5669348939283102,0.45401288810779145,0.5042290175666884,3414.0
4,0.04081632653061224,0.002277904328018223,0.004314994606256742,878.0
accuracy,0.3094736842105263,0.3094736842105263,0.3094736842105263,0.3094736842105263
macro avg,0.2138239308064684,0.21528382547061384,0.18761241397266584,6650.0
weighted avg,0.3535979834713981,0.3094736842105263,0.31190872282441806,6650.0
