Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Time per sample
1,0.7379160903315184,0.7532462553239204,0.5880060619181641,0.5583501006036218,0.0001973067302418932
2,0.6459399116428984,0.5595209709475458,0.6077072959515046,0.6710261569416499,6.846195434847805e-05
3,0.43065015380969424,0.44504642006856815,0.7986577181208053,0.8038229376257545,6.429693300916561e-05
4,0.3108596445504245,0.29996924689957793,0.8672872916215632,0.8591549295774648,5.9320854918733254e-05
5,0.20606014516400578,0.20506121571994643,0.9149166486252436,0.9144869215291751,5.809283664304473e-05
6,0.13650487213004175,0.19305408024931817,0.9469582160640831,0.9195171026156942,6.658924067270759e-05
7,0.10142120450064072,0.6473051298192329,0.9588655553150033,0.7394366197183099,7.02853222434256e-05
8,0.0770244287646715,0.34491224625940536,0.9660099588655553,0.852112676056338,6.149552760895363e-05
9,0.0710087597695173,0.15464071419757136,0.9690409179476077,0.9346076458752515,6.305317157118526e-05
10,0.05089651950310192,0.16123987944193288,0.9761853214981597,0.9295774647887324,5.877738030964896e-05
11,0.04419956272409498,0.3650251797867013,0.977267806884607,0.8511066398390342,6.542703397709148e-05
12,0.038787709164160376,0.9359107933773602,0.9831132279714224,0.7474849094567404,6.802945612931979e-05
13,0.04346090494621804,0.14208420928215357,0.9768348127300281,0.9446680080482898,5.8016443593235185e-05
14,0.03826940846578025,0.2353116262486763,0.9811647542758173,0.9064386317907445,6.117256050580609e-05
15,0.03510794210817095,0.28033364568677704,0.9818142455076857,0.9134808853118712,6.2611898474684e-05
16,0.030718854041360794,0.28395244425211397,0.9861441870534747,0.9154929577464789,6.460410533309577e-05
17,0.043395571473362475,0.2089521248695596,0.9833297250487119,0.9275653923541247,5.640320820218945e-05
18,0.03073950822143121,0.20729194422602892,0.9880926607490799,0.9265593561368209,6.234715526355348e-05
19,0.03291759091175562,0.5373125571600148,0.9867936782853431,0.8672032193158954,6.906122685407865e-05
20,0.02616640096668434,0.16961606086739592,0.9906906256765534,0.9305835010060363,6.49827670989085e-05
21,0.017572370698462996,0.9066347214777465,0.9937215847586057,0.7816901408450704,6.4368215983346e-05
22,0.02057220782560598,0.23867795524942564,0.9922061052175796,0.9134808853118712,6.221398359564224e-05
23,0.031068856498932425,0.26147143569750564,0.9902576315219744,0.9295774647887324,6.345387376420657e-05
24,0.013808101060087296,0.2655221976984435,0.994804070145053,0.9235412474849095,6.825161537687406e-05
25,0.013295721862765368,0.44468176643733287,0.9961030526087897,0.8993963782696177,5.975944393510606e-05
26,0.019970254801142364,0.3829508141972409,0.9945875730677636,0.9154929577464789,5.827101827003296e-05
27,0.017823153205305052,0.2734549412545064,0.9941545789131847,0.9426559356136821,6.365012131513623e-05
28,0.01876995864735695,0.3392014384149786,0.9930720935267374,0.9154929577464789,6.204070557658098e-05
