,precision,recall,f1-score,support
0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,1.0,0.24406015037593984,0.39236069140577784,6650.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
accuracy,0.24406015037593984,0.24406015037593984,0.24406015037593984,0.24406015037593984
macro avg,0.16666666666666666,0.040676691729323304,0.06539344856762964,6650.0
weighted avg,1.0,0.24406015037593984,0.39236069140577784,6650.0
