Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Time per sample
1,2.148864727495924,2.1579736167776717,0.12150142038839473,0.11801782221256249,9.272111087852901e-05
2,1.9414294329063975,1.7013481376845276,0.183067107530387,0.3253640512931971,8.603594185770493e-05
3,1.5814746470598584,1.2943932311842168,0.3984538723047548,0.6172571180178222,5.935802094644246e-05
4,1.221041044113894,0.8432872845631169,0.6141666278582406,0.7761356226907195,0.00011524119075351805
5,0.818826558012792,0.4398931090118211,0.7912261910305965,0.9004564225168442,8.063421159231829e-05
6,0.48563425100849544,0.22661642407501711,0.8989894285847343,0.9584872853727451,0.00010824875233586742
7,0.2789540180203212,0.1133544114781667,0.9493317189028082,0.9771788741577918,0.00010681104600077009
8,0.16057552467686925,0.05809110910116564,0.9766683742374145,0.9906542056074766,0.00012147398292116207
9,0.09349364843896986,0.03046201647438839,0.9884971825082662,0.9973918713323191,0.00011210276596104156
10,0.05705322189146298,0.01642294477374236,0.993666464862851,0.9989132797217997,0.00011684566684869108
11,0.03533223926986676,0.010875093808344618,0.9972523634331486,0.9997826559443599,0.00010941737310935126
12,0.02380045528707043,0.0074222850819964225,0.9980906254365948,1.0,0.000115307299085841
13,0.01721463086511958,0.00577210953693543,0.9985097564383179,1.0,0.00012294795224137306
14,0.012707059990304284,0.004623457283276309,0.9989754575513435,1.0,0.00010039245322293253
15,0.009831094891267487,0.003763718713419842,0.9994877287756718,1.0,0.0001274032363603807
16,0.008192067332073082,0.0031257786011674323,0.9994411586643692,1.0,0.0001128798331001
17,0.006412462617912074,0.0026124737993039803,0.9996274391095795,1.0,9.867063872399919e-05
18,0.005653833018047932,0.0022312667979339615,0.999674009220882,1.0,0.0001209155262885038
19,0.004410193996488422,0.0019236364823360611,0.9998137195547897,1.0,8.533673021516119e-05
20,0.0037385412841304567,0.00168710487045674,0.9998137195547897,1.0,8.77124553831956e-05
21,0.003768651865344917,0.0015050525778256417,0.9994877287756718,1.0,0.00011629411639384684
22,0.003161788407244933,0.0012674723178799244,0.9997671494434872,1.0,0.00012569665542408543
23,0.0021907576369816486,0.0011085965173457436,1.0,1.0,5.2285017856414384e-05
24,0.002497548995023552,0.0009991144101941863,0.9998137195547897,1.0,0.00013067469945280574
25,0.0023384031648605147,0.000935688811810082,0.9998602896660923,1.0,0.00010992019170820533
26,0.0017665332643449127,0.0008413198777373051,0.9999534298886974,1.0,0.00012022143321183189
27,0.001797966287486621,0.0006711795761680502,0.9998137195547897,1.0,0.00013127690261373955
28,0.0017384964103043198,0.0006262348777877879,0.9997671494434872,1.0,0.00010253863125249792
29,0.001559760877368351,0.000513103580718635,0.999674009220882,1.0,8.626027050168426e-05
30,0.0008042740949976013,0.00044832435599416926,1.0,1.0,7.776033116093125e-05
