Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Time per sample
1,2.1281669306076663,2.1271214065953874,0.005588413356307922,0.008259074114322973,3.937904810209287e-05
2,1.8815044393494127,1.6464538024161541,0.25301541470684114,0.5796565963920887,4.9890084187385895e-05
3,1.2188362293314912,0.7392091990890411,0.7616076002421646,0.886329058900239,4.957822917731624e-05
4,0.3544503801136186,0.10442152198981368,0.9508219624644902,0.9928276461638774,4.910041493929377e-05
5,0.053214479471829085,0.02275905972158415,0.9966003818749127,0.9989132797217997,4.95786622013271e-05
6,0.016979763034720916,0.010106895530061588,0.9998602896660923,0.9997826559443599,4.944916581572371e-05
7,0.008562165830935454,0.00602867878304292,0.9999068597773949,0.9997826559443599,4.966317960570101e-05
8,0.005206770415326812,0.003975396019224846,1.0,0.9997826559443599,4.9315849936281035e-05
9,0.0036191862401462414,0.0027840485462799045,1.0,0.9997826559443599,4.972118261679525e-05
10,0.00266404216553383,0.0021088375632576863,1.0,0.9997826559443599,5.001730442113738e-05
11,0.0018952851575977849,0.0016086995231862718,1.0,0.9997826559443599,4.9491879748281044e-05
12,0.0014512718720486935,0.0013013493146941063,1.0,0.9997826559443599,4.912627424496729e-05
13,0.0011691925273669944,0.0010175474937621628,1.0,0.9997826559443599,4.9306278995323296e-05
14,0.0008980010864980433,0.0008605712937012798,1.0,0.9997826559443599,4.96556183402808e-05
15,0.0007440654596038467,0.0006622464442843241,1.0,1.0,4.926400918995657e-05
16,0.0006107621297361222,0.000592268025809984,1.0,1.0,4.939676991041098e-05
17,0.0005128244417929571,0.00046784493436317177,1.0,1.0,4.951153237646573e-05
18,0.0004291623544086031,0.0004118926538755359,1.0,1.0,4.974771921643446e-05
19,0.00034840156597737437,0.0003574251226591073,1.0,1.0,5.0207057763327374e-05
20,0.0003003427701337142,0.0002852999577595808,1.0,1.0,4.950397111104552e-05
21,0.00026234690782621253,0.0002749944237600338,1.0,1.0,4.946353333034008e-05
22,0.0002200482365084243,0.00022493855529535123,1.0,1.0,4.952847582878767e-05
23,0.00018045637408099115,0.00019395149627096889,1.0,1.0,4.966341277247608e-05
24,0.00016302486861510904,0.00017523111590425703,1.0,1.0,4.965924908006407e-05
25,0.00015519175600669038,0.00013382367509406684,1.0,1.0,4.97986050892991e-05
26,0.00012928802486008814,0.00013075702480360614,1.0,1.0,4.9773300942613846e-05
27,0.000102668889144508,0.00011776236717037764,1.0,1.0,4.953972334988998e-05
28,9.397731388504248e-05,8.386667603477311e-05,1.0,1.0,4.964297181852805e-05
29,8.377401313232547e-05,7.952935779472664e-05,1.0,1.0,5.009069643938641e-05
30,7.134875768844414e-05,6.332757648545287e-05,1.0,1.0,4.954622981323248e-05
31,6.663420902123809e-05,6.503303663561492e-05,1.0,1.0,1.6556550919834738e-05
32,5.396785800002952e-05,5.235877448416719e-05,1.0,1.0,4.960230087104754e-05
33,4.799029156014682e-05,4.552639693966899e-05,1.0,1.0,4.932194558197222e-05
34,4.2317238596597146e-05,3.7570568523268205e-05,1.0,1.0,4.98115847064448e-05
35,4.011354821344126e-05,3.5838443900148333e-05,1.0,1.0,4.991638762025003e-05
36,3.3949350495038784e-05,3.247487315890977e-05,1.0,1.0,5.063247609603712e-05
37,2.9816346650294523e-05,2.6296824046250622e-05,1.0,1.0,4.971327715280231e-05
38,2.5636889448232775e-05,2.2411476067896357e-05,1.0,1.0,4.914355079268219e-05
39,2.451363907872827e-05,1.9810758740556097e-05,1.0,1.0,5.1437756414879343e-05
40,2.1271887621061037e-05,1.7209578330675136e-05,1.0,1.0,5.0268458347429815e-05
41,1.9806556170638224e-05,1.4917378733082296e-05,1.0,1.0,4.99511738824549e-05
42,1.735325105968834e-05,1.6049276045315348e-05,1.0,1.0,4.9503704634731155e-05
43,1.5060402342128738e-05,1.3064277651549244e-05,1.0,1.0,4.908141739871524e-05
44,1.3886771784743513e-05,1.0755827778348514e-05,1.0,1.0,1.5202806830123059e-05
45,1.1798543952893868e-05,9.595740649863245e-06,1.0,1.0,4.9369278437311945e-05
46,1.0845177236719083e-05,8.263453022598158e-06,1.0,1.0,4.935113584157535e-05
47,9.832259710544732e-06,6.753074028701677e-06,1.0,1.0,4.939533760022125e-05
48,8.42874721646743e-06,6.561277000380123e-06,1.0,1.0,4.9818923908269704e-05
49,7.31565172221074e-06,5.927062692239089e-06,1.0,1.0,4.963304557581782e-05
50,6.948348876029891e-06,4.497312415350908e-06,1.0,1.0,4.9726401111284966e-05
51,6.331010263441873e-06,4.0592772453451835e-06,1.0,1.0,5.019845279900922e-05
52,5.505865010901953e-06,3.8980689748939276e-06,1.0,1.0,5.051337228669411e-05
53,5.0340787179079045e-06,3.534913077456535e-06,1.0,1.0,4.973979154608199e-05
54,4.355255489622849e-06,3.119460148600851e-06,1.0,1.0,1.548139671361569e-05
55,3.8400769468765875e-06,2.8242099553400615e-06,1.0,1.0,4.962445171467943e-05
56,3.2426740143529183e-06,2.464490020659853e-06,1.0,1.0,4.9866778613058407e-05
57,0.02053699206441846,0.035197039833747806,0.9945512969775998,0.9941317104977179,4.921675405687521e-05
58,0.00409164235131044,0.0010288739153741025,0.9992083081078563,0.9997826559443599,4.975520275959631e-05
59,0.0008675575706115891,0.002356261504206574,0.9997671494434872,0.9989132797217997,4.943060129915603e-05
60,0.0014740764585011751,0.00013203041554707456,0.9995342988869743,1.0,4.9460912979915455e-05
61,6.493831788286884e-05,7.445908003807797e-05,1.0,1.0,4.9819168178224546e-05
62,4.899076634021725e-05,3.382407974562281e-05,1.0,1.0,4.977224614053613e-05
63,1.9805759021213365e-05,4.150092920786776e-05,1.0,1.0,4.9475735724902215e-05
64,1.907744744938734e-05,3.230889108232046e-05,1.0,1.0,4.97742447128939e-05
65,1.5137698973357314e-05,2.6211130868063463e-05,1.0,1.0,4.9727111714789946e-05
66,1.0815520580202324e-05,2.0599075382189105e-05,1.0,1.0,4.947056164313155e-05
67,1.0713314063603812e-05,2.4796001699336324e-05,1.0,1.0,5.037390524566143e-05
68,8.288188478232405e-06,1.6982462790623495e-05,1.0,1.0,4.939168465407844e-05
69,8.420765229209104e-06,1.979674804003101e-05,1.0,1.0,4.962343022214102e-05
70,6.712857380868538e-06,1.9710741630292117e-05,1.0,1.0,4.963044743175273e-05
71,5.7478267031933906e-06,2.0244504385075e-05,1.0,1.0,4.9772434894592144e-05
