Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Time per sample
1,2.1281669306076663,2.1271214065953874,0.005588413356307922,0.008259074114322973,0.00013253967835163364
2,1.8815107413810095,1.6464252598880038,0.25306198481814374,0.5796565963920887,0.00013922553576960314
3,1.218822271962784,0.7392196726524372,0.7616076002421646,0.886329058900239,0.00011694657254639865
4,0.35443807109001657,0.10436955184534669,0.9507753923531878,0.9928276461638774,0.00011302234241238839
5,0.05321790435970043,0.022769546615786913,0.9966003818749127,0.9989132797217997,0.00012822665927495952
6,0.01698148923922629,0.0101053955982152,0.9998602896660923,0.9997826559443599,0.0001143942179946569
7,0.008562449201106496,0.0060316551519933115,0.9999068597773949,0.9997826559443599,0.00011458016294618738
8,0.0052067195806109814,0.003975424692133906,1.0,0.9997826559443599,0.00011289008133502343
9,0.0036192678723720047,0.002782892685395096,1.0,0.9997826559443599,0.00010773413105692277
10,0.00266426158656151,0.002111693988522805,1.0,0.9997826559443599,0.00011110518967184308
11,0.001895334271933379,0.0016097921174041032,1.0,0.9997826559443599,0.00011376522286094929
12,0.001451523713580596,0.0013006963822320655,1.0,0.9997826559443599,9.317476459738206e-05
13,0.0011691648256599574,0.0010173634333199813,1.0,0.9997826559443599,0.00010837193101218432
14,0.0008979977536032258,0.000860096717216791,1.0,0.9997826559443599,0.00011463582318635112
15,0.0007440330564618962,0.0006624087726603607,1.0,1.0,0.00011653695403849501
16,0.0006106128127487898,0.0005921307199914352,1.0,1.0,0.00013692744403448812
17,0.0005128328401774111,0.00046710986564454265,1.0,1.0,0.00014537106804747124
18,0.0004291660910446923,0.00041146020252574167,1.0,1.0,0.00013880583557447258
19,0.00034845502726477226,0.0003576353674810317,1.0,1.0,0.00013744457463205973
20,0.0003003925224081132,0.00028556128166682966,1.0,1.0,0.00012439568474779852
21,0.00026238346424321173,0.00027486947854892066,1.0,1.0,9.965422500669332e-05
22,0.00022005926574740977,0.00022451340547892916,1.0,1.0,0.00010370766284363308
23,0.00018046183267157804,0.0001936901459419205,1.0,1.0,0.00011279764736347681
24,0.00016301250130064816,0.00017500101243057663,1.0,1.0,9.761885671118622e-05
25,0.00015349034163054758,0.00013350570548866585,1.0,1.0,8.754721786192753e-05
26,0.00012926514718681692,0.0001304843042149343,1.0,1.0,9.820222887923797e-05
27,0.000102694168035932,0.00011751847484930268,1.0,1.0,9.643947695650974e-05
28,9.401057976317139e-05,8.38038508481077e-05,1.0,1.0,8.831692359280155e-05
29,8.38071245540014e-05,7.956307025801038e-05,1.0,1.0,8.997742633307057e-05
30,7.140506653992392e-05,6.32039477731589e-05,1.0,1.0,8.960563635862752e-05
31,6.667379504509801e-05,6.498045768460929e-05,1.0,1.0,9.542078241939755e-05
32,5.4004566629330126e-05,5.232207580760511e-05,1.0,1.0,9.257794647863446e-05
33,4.8009637946687664e-05,4.5542833343337945e-05,1.0,1.0,9.000989203070448e-05
34,4.233957837183834e-05,3.754103724848758e-05,1.0,1.0,9.23213853037963e-05
35,4.0165594119881234e-05,3.5875344991368465e-05,1.0,1.0,9.252865946365603e-05
36,3.396876601537528e-05,3.243387259197795e-05,1.0,1.0,9.273933119652396e-05
37,2.9816036867919576e-05,2.6306836986536894e-05,1.0,1.0,0.00010109491809714753
38,2.5642877388878588e-05,2.2369099113668684e-05,1.0,1.0,9.806538218862992e-05
39,2.4525074993273825e-05,1.9785188455945058e-05,1.0,1.0,9.450184995247712e-05
40,2.127916227726721e-05,1.7216305541666254e-05,1.0,1.0,9.522974110835477e-05
41,1.9810585213446047e-05,1.4913508557965064e-05,1.0,1.0,8.903051385314143e-05
42,1.735446221709048e-05,1.609387439518376e-05,1.0,1.0,9.263304045663017e-05
43,1.505722843052603e-05,1.306478028426071e-05,1.0,1.0,9.823497215636601e-05
44,1.3882799647510907e-05,1.073177658264971e-05,1.0,1.0,8.91494067020689e-05
45,1.1798926525340753e-05,9.565470056604606e-06,1.0,1.0,-5.148999687567535e-06
46,1.084680951257408e-05,8.236831642956163e-06,1.0,1.0,9.807296566040966e-05
47,9.832115799156122e-06,6.746457281633915e-06,1.0,1.0,8.325089796762054e-05
48,8.429679744261238e-06,6.5624356645082755e-06,1.0,1.0,9.492001790880007e-05
49,7.316356714722575e-06,5.91502724161278e-06,1.0,1.0,3.8933821696681727e-05
50,6.947000398057917e-06,4.494444548464536e-06,1.0,1.0,9.137166371938652e-05
51,6.332192448907865e-06,4.063806989934071e-06,1.0,1.0,9.151626042947079e-05
52,5.506420011185026e-06,3.894471508778157e-06,1.0,1.0,8.683309464895892e-05
53,5.0367872887468055e-06,3.535343699575869e-06,1.0,1.0,8.924997930438352e-05
54,4.355377636925652e-06,3.120234928279262e-06,1.0,1.0,9.435851900488609e-05
55,3.839505190012387e-06,2.8279808289950725e-06,1.0,1.0,9.051217767692981e-05
56,3.2417247543852065e-06,2.4637141257088697e-06,1.0,1.0,9.753048650343373e-05
57,0.019575144077240727,0.03582574124331611,0.9951101383132306,0.988915453162356,9.211548793822748e-05
58,0.004142738542839507,0.000531193811979931,0.9989754575513435,0.9997826559443599,9.895444710198154e-05
59,0.0011340974621626494,0.00011551983983476394,0.9995808689982769,1.0,9.840330746478863e-05
60,6.999933452610313e-05,7.4628084227783e-05,1.0,1.0,9.26520379972087e-05
61,2.64451680681395e-05,5.006669666368471e-05,1.0,1.0,9.683076411462077e-05
62,1.8838586623372642e-05,3.3123030329891133e-05,1.0,1.0,9.433652360577091e-05
63,1.4220175825847482e-05,3.2743554627053216e-05,1.0,1.0,9.2458154272146e-05
64,1.7314258265850662e-05,2.5168677621521567e-05,1.0,1.0,9.506660208806235e-05
65,1.1756152434747053e-05,2.0500209068904337e-05,1.0,1.0,9.704029221997288e-05
66,9.171918096043045e-06,1.5510098978779727e-05,1.0,1.0,9.42038295043951e-05
67,9.303379765197805e-06,1.554363665797701e-05,1.0,1.0,9.426721755767554e-05
