,precision,recall,f1-score,support
0,0.9811320754716981,1.0,0.9904761904761905,104.0
1,0.9945155393053017,0.9851503078594712,0.9898107714701602,2761.0
2,0.9736842105263158,0.9932885906040269,0.9833887043189369,447.0
3,0.9898819561551433,0.9949152542372881,0.9923922231614539,2950.0
accuracy,0.9905780900670712,0.9905780900670712,0.9905780900670712,0.9905780900670712
macro avg,0.9848034453646148,0.9933385381751965,0.9890169723566854,6262.0
weighted avg,0.9906234034867343,0.9905780900670712,0.9905795070257888,6262.0
