,precision,recall,f1-score,support
0,0.14580467675378267,0.16282642089093702,0.15384615384615385,651.0
1,0.12568306010928962,0.05430932703659976,0.07584501236603462,847.0
2,0.21579961464354527,0.13023255813953488,0.16243654822335024,860.0
3,0.5764085934333198,0.4165202108963093,0.48359122598197585,3414.0
4,0.19603267211201866,0.5740318906605922,0.2922586256886054,878.0
accuracy,0.3293233082706767,0.3293233082706767,0.3293233082706767,0.3293233082706767
macro avg,0.25194572341039123,0.2675840815247946,0.23359551322122396,6650.0
weighted avg,0.37999032919826103,0.3293233082706767,0.332582484504815,6650.0
