,precision,recall,f1-score,support
0,0.06436567164179105,0.10599078341013825,0.08009286128845038,651.0
1,0.0647279549718574,0.08146399055489964,0.07213800313643493,847.0
2,0.3569230769230769,0.13488372093023257,0.19578059071729959,860.0
3,0.5413223140495868,0.4988283538371412,0.5192073170731707,3414.0
4,0.1786743515850144,0.21184510250569477,0.1938509640437728,878.0
accuracy,0.32225563909774435,0.32225563909774435,0.32225563909774435,0.32225563909774435
macro avg,0.24120267383426527,0.20660239024762128,0.21221394725182569,6650.0
weighted avg,0.3622001409189093,0.32225563909774435,0.3344943723745047,6650.0
