Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Time per sample
1,1.8522008335130136,1.8436820774434883,0.13272481721231313,0.13975222777657031,0.0001559062535487539
2,1.5720254964423892,1.3980988839014123,0.3153262236296745,0.49380569441425776,0.00014503678461427554
3,1.3877821366565892,1.37018806528615,0.5059842593023798,0.49771788741577916,0.00014820078002975167
4,1.3574924987012993,1.353047045436379,0.5098030084291901,0.49771788741577916,0.00015161562958566655
5,1.3353912866715696,1.3169660249033122,0.5118986634378057,0.5009780482503804,0.0001486644710231126
6,1.3064905434856593,1.3021294260201208,0.5178130675732315,0.5059769615301022,0.00014221664357295285
7,1.2845603135292416,1.2576423596879809,0.5246123038234062,0.5135840034775049,0.00014678496916515162
8,1.2505455635703504,1.2029304634459872,0.5336003353048013,0.5324929363181917,0.00015121689219393296
9,1.2158923918170632,1.1888409352670466,0.5447771620174172,0.5390132579873941,0.0001508913802727519
10,1.1751272909321384,1.1196466981522597,0.5619615330880641,0.5681373614431645,0.00014147126490894474
11,1.1307895106007522,1.0691492379268752,0.5755600055884134,0.5798739404477288,0.0001554648244308225
12,1.082760126357673,1.011306265493342,0.5901830205374191,0.5976961530102152,0.00015137741086380076
13,1.0376158114867067,0.9626474588286796,0.6023378195873889,0.6226907194088241,0.00015397180205413416
14,0.9927724645583358,0.9035627352520321,0.6216178456666511,0.6437730928059118,7.528465516864906e-05
15,0.9489784000283299,0.8619328600716213,0.639454198295534,0.6674635948706803,0.00013935900709356253
16,0.9038639987391641,0.8111868645413702,0.6534718017976063,0.6865898717670071,0.0001444650818881572
17,0.8661994876095674,0.7688436240793388,0.6695850603082941,0.7063681808302543,0.00014568921856046783
18,0.8271653000989669,0.6999327601155259,0.688911656498859,0.7200608563355793,0.00014227903234005442
19,0.7909293336045097,0.6646983403533574,0.6998090625436595,0.7504890241251901,0.000147450649204804
20,0.7522627380282535,0.6448844925679996,0.7151306291622037,0.7461421430123886,0.00013974096758067066
21,0.7163992080630518,0.5865002602656182,0.7295673636659992,0.7817865681373615,0.00014031366959296792
22,0.6845361510553575,0.5633709258396867,0.74428351883761,0.783307976526842,0.0001534632764208807
23,0.645638895677109,0.5104757861919026,0.7581148418944721,0.8065637904803303,0.00014468886647632802
24,0.6168502653749323,0.4975682194402388,0.7695245191636008,0.8080851988698109,0.00013664916504002892
25,0.5911475890439896,0.4636489353188223,0.7773948679737345,0.8291675722668985,0.00014202810047735727
26,0.560874722699884,0.4282300751822276,0.7889442555767708,0.8448163442729841,6.900685071023626e-05
27,0.532612013818499,0.40706378467651433,0.7976528663903507,0.8495979134970658,0.00015265277760754875
28,0.5183834743639656,0.4113843861649125,0.8044055325292228,0.8561182351662682,0.00013676528209401504
29,0.48456276360241174,0.3938692619919233,0.8184697061425977,0.8524233862203868,0.0001502550459372194
30,0.4671921790678744,0.3841024680491039,0.8242909700554184,0.8550315148880678,0.00014500867136310966
